Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,46,0,Some Random Commen with Id 0
1,0,0,30,1,Some Random Commen with Id 1
2,1,3,13,1,Some Random Commen with Id 2
3,2,2,187,6,Some Random Commen with Id 3
4,2,2,109,5,Some Random Commen with Id 4
5,2,2,159,7,Some Random Commen with Id 5
6,3,8,151,1,Some Random Commen with Id 6
7,3,8,143,5,Some Random Commen with Id 7
8,3,8,177,9,Some Random Commen with Id 8
9,3,8,97,4,Some Random Commen with Id 9
10,3,8,51,3,Some Random Commen with Id 10
11,3,8,194,3,Some Random Commen with Id 11
12,3,8,69,0,Some Random Commen with Id 12
13,4,3,36,6,Some Random Commen with Id 13
14,4,3,119,4,Some Random Commen with Id 14
15,4,3,178,2,Some Random Commen with Id 15
16,4,3,108,9,Some Random Commen with Id 16
17,4,3,129,5,Some Random Commen with Id 17
18,4,3,70,8,Some Random Commen with Id 18
19,4,3,47,0,Some Random Commen with Id 19
20,4,3,186,9,Some Random Commen with Id 20
21,4,3,10,1,Some Random Commen with Id 21
22,5,0,12,8,Some Random Commen with Id 22
23,5,0,103,9,Some Random Commen with Id 23
24,5,0,74,4,Some Random Commen with Id 24
25,6,3,95,8,Some Random Commen with Id 25
26,6,3,111,9,Some Random Commen with Id 26
27,6,3,46,7,Some Random Commen with Id 27
28,6,3,145,7,Some Random Commen with Id 28
29,8,6,76,7,Some Random Commen with Id 29
30,8,6,92,3,Some Random Commen with Id 30
31,8,6,156,8,Some Random Commen with Id 31
32,8,6,12,6,Some Random Commen with Id 32
33,8,6,180,2,Some Random Commen with Id 33
34,8,6,148,2,Some Random Commen with Id 34
35,9,1,175,3,Some Random Commen with Id 35
36,9,1,130,9,Some Random Commen with Id 36
37,9,1,47,8,Some Random Commen with Id 37
38,9,1,169,3,Some Random Commen with Id 38
39,10,6,113,6,Some Random Commen with Id 39
40,10,6,107,8,Some Random Commen with Id 40
41,10,6,144,0,Some Random Commen with Id 41
42,10,6,165,7,Some Random Commen with Id 42
43,10,6,96,6,Some Random Commen with Id 43
44,10,6,10,2,Some Random Commen with Id 44
45,10,6,171,3,Some Random Commen with Id 45
46,10,6,10,6,Some Random Commen with Id 46
47,10,6,129,0,Some Random Commen with Id 47
48,11,3,100,0,Some Random Commen with Id 48
49,11,3,61,9,Some Random Commen with Id 49
50,12,6,23,4,Some Random Commen with Id 50
51,12,6,119,4,Some Random Commen with Id 51
52,12,6,12,4,Some Random Commen with Id 52
53,12,6,144,3,Some Random Commen with Id 53
54,12,6,81,6,Some Random Commen with Id 54
55,12,6,56,5,Some Random Commen with Id 55
56,12,6,8,7,Some Random Commen with Id 56
57,12,6,34,7,Some Random Commen with Id 57
58,12,6,6,0,Some Random Commen with Id 58
59,13,8,170,2,Some Random Commen with Id 59
60,13,8,172,9,Some Random Commen with Id 60
61,13,8,88,3,Some Random Commen with Id 61
62,13,8,33,8,Some Random Commen with Id 62
63,14,2,79,3,Some Random Commen with Id 63
64,16,5,66,9,Some Random Commen with Id 64
65,17,4,102,1,Some Random Commen with Id 65
66,17,4,146,0,Some Random Commen with Id 66
67,18,3,86,1,Some Random Commen with Id 67
68,18,3,26,0,Some Random Commen with Id 68
69,18,3,184,8,Some Random Commen with Id 69
70,19,9,82,7,Some Random Commen with Id 70
71,19,9,171,8,Some Random Commen with Id 71
72,19,9,160,5,Some Random Commen with Id 72
73,19,9,133,1,Some Random Commen with Id 73
74,19,9,45,3,Some Random Commen with Id 74
75,21,6,119,8,Some Random Commen with Id 75
76,21,6,29,7,Some Random Commen with Id 76
77,21,6,160,9,Some Random Commen with Id 77
78,21,6,40,9,Some Random Commen with Id 78
79,22,9,87,3,Some Random Commen with Id 79
80,22,9,83,5,Some Random Commen with Id 80
81,22,9,165,0,Some Random Commen with Id 81
82,22,9,21,8,Some Random Commen with Id 82
83,22,9,158,4,Some Random Commen with Id 83
84,22,9,172,9,Some Random Commen with Id 84
85,22,9,167,8,Some Random Commen with Id 85
86,22,9,22,9,Some Random Commen with Id 86
87,22,9,186,9,Some Random Commen with Id 87
88,23,7,64,5,Some Random Commen with Id 88
89,23,7,144,6,Some Random Commen with Id 89
90,23,7,33,2,Some Random Commen with Id 90
91,23,7,81,8,Some Random Commen with Id 91
92,23,7,128,7,Some Random Commen with Id 92
93,23,7,123,9,Some Random Commen with Id 93
94,23,7,66,9,Some Random Commen with Id 94
95,24,2,45,9,Some Random Commen with Id 95
96,25,3,124,9,Some Random Commen with Id 96
97,26,3,40,9,Some Random Commen with Id 97
98,28,5,101,7,Some Random Commen with Id 98
99,28,5,54,7,Some Random Commen with Id 99
100,28,5,40,8,Some Random Commen with Id 100
101,28,5,35,2,Some Random Commen with Id 101
102,28,5,86,8,Some Random Commen with Id 102
103,28,5,68,5,Some Random Commen with Id 103
104,29,3,162,4,Some Random Commen with Id 104
105,29,3,67,8,Some Random Commen with Id 105
106,29,3,186,9,Some Random Commen with Id 106
107,29,3,189,9,Some Random Commen with Id 107
108,29,3,194,0,Some Random Commen with Id 108
109,29,3,15,2,Some Random Commen with Id 109
110,29,3,41,7,Some Random Commen with Id 110
111,29,3,79,5,Some Random Commen with Id 111
